Title,Rating,Votes,Duration,Storyline,content
The Ministry of Ungentlemanly Warfare,6.8, (160K),2h 2m,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,ministry ungentlemanly warfare british military recruit small group highly skilled soldier strike german force behind enemy line world war ii
Dune: Part Two,8.4, (760K),2h 46m,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",dune part two paul atreides unites fremen warpath revenge conspirator destroyed family facing choice love life fate universe endeavor prevent terrible future
The Substance,7.2, (439K),2h 21m,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",substance fading celebrity take blackmarket drug cellreplicating substance help create younger better version
Furiosa: A Mad Max Saga,7.5, (321K),2h 28m,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home.",furiosa mad max saga snatched green place many mother tyrant dementus immortan joe fight power control young furiosa must survive many trial put together mean find way home
Gladiator II,6.4, (302K),2h 28m,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",gladiator ii home conquered tyrannical emperor lead rome lucius forced enter colosseum must look past find strength return glory rome people
Speak No Evil,6.8, (138K),1h 50m,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",speak evil family invited spend whole weekend lonely home countryside weekend progress realize dark side lie within family invited
The Idea of You,6.3, (86K),1h 55m,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",idea solne single mom begin unexpected romance hayes campbell lead singer august moon hottest boy band planet
The Life of Chuck,7.3, (73K),1h 51m,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",life chuck lifeaffirming genrebending story three chapter life ordinary man named charles krantz
Anora,7.4, (289K),2h 19m,"A young stripper from Brooklyn impulsively marries the son of Russian oligarchs, but her fairy tale is threatened when his parents set out for New York to get the marriage annulled.",anora young stripper brooklyn impulsively marries son russian oligarch fairy tale threatened parent set new york get marriage annulled
Milk & Serial,6.6, (4.8K),1h 2m,A surprise birthday prank takes a turn for the worse when a popular social media duo must face the reality of the terrifying aftermath.,milk serial surprise birthday prank take turn worse popular social medium duo must face reality terrifying aftermath
We Bury the Dead,5.6, (15K),1h 35m,"After a military catastrophe leaves Tasmania filled with partially reanimated corpses, a volunteer searching for her missing husband abandons recovery operations and travels south through isolated communities collapsing beneath guilt.",bury dead military catastrophe leaf tasmania filled partially reanimated corps volunteer searching missing husband abandon recovery operation travel south isolated community collapsing beneath guilt
It Ends with Us,6.3, (103K),2h 10m,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",end u woman first love suddenly reenters life relationship charming abusive neurosurgeon upended realizes must learn rely strength make impossible choice future
Heretic,7.0, (229K),1h 51m,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,heretic two young religious woman drawn game catandmouse house strange man
Longlegs,6.5, (226K),1h 41m,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",longlegs pursuit serial killer fbi agent uncovers series occult clue must solve end terrifying killing spree
Deadpool & Wolverine,7.5, (572K),2h 8m,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",deadpool wolverine deadpool offered place marvel cinematic universe time variance authority instead recruit variant wolverine save universe extinction
A Complete Unknown,7.3, (119K),2h 21m,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.",complete unknown unknown bob dylan arrives new york city guitar forge relationship musical icon meteoric rise culminating groundbreaking performance reverberates around world
Oddity,6.7, (60K),1h 38m,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.,oddity psychic medium attempt uncover truth behind sister murder site crime
