Title,Rating,Votes,Duration,Storyline
1. The Ministry of Ungentlemanly Warfare,6.8, (160K),2h 2m,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
2. Dune: Part Two,8.4, (760K),2h 46m,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
3. The Substance,7.2, (439K),2h 21m,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself."
4. Furiosa: A Mad Max Saga,7.5, (321K),2h 28m,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home."
5. Gladiator II,6.4, (302K),2h 28m,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people."
6. Speak No Evil,6.8, (138K),1h 50m,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."
7. The Idea of You,6.3, (86K),1h 55m,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
8. The Life of Chuck,7.3, (73K),1h 51m,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz."
9. Anora,7.4, (289K),2h 19m,"A young stripper from Brooklyn impulsively marries the son of Russian oligarchs, but her fairy tale is threatened when his parents set out for New York to get the marriage annulled."
10. Milk & Serial,6.6, (4.8K),1h 2m,A surprise birthday prank takes a turn for the worse when a popular social media duo must face the reality of the terrifying aftermath.
11. We Bury the Dead,5.6, (15K),1h 35m,"After a military catastrophe leaves Tasmania filled with partially reanimated corpses, a volunteer searching for her missing husband abandons recovery operations and travels south through isolated communities collapsing beneath guilt."
12. It Ends with Us,6.3, (103K),2h 10m,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future."
13. Heretic,7.0, (229K),1h 51m,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.
14. Longlegs,6.5, (226K),1h 41m,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
15. Deadpool & Wolverine,7.5, (572K),2h 8m,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
16. A Complete Unknown,7.3, (119K),2h 21m,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world."
17. Oddity,6.7, (60K),1h 38m,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.
18. Horizon: An American Saga - Chapter 1,6.6, (45K),3h 1m,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
19. The Fall Guy,6.8, (266K),2h 6m,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
20. Juror #2,7.0, (127K),1h 54m,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer."
21. Twisters,6.5, (197K),2h 2m,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies."
22. The Wild Robot,8.2, (227K),1h 42m,A sentient robot stranded on an uninhabited island raises an orphaned gosling while trying to fit in with the local wildlife.
